Description,Date,Location,Value
New cases of suspects,2014-10-01,Dubreka,
New cases of probables,2014-10-01,Dubreka,
New cases of confirmed,2014-10-01,Dubreka,
Total new cases registered so far,2014-10-01,Dubreka,0
Total cases of suspects,2014-10-01,Dubreka,0
Total cases of probables,2014-10-01,Dubreka,0
Total cases of confirmed,2014-10-01,Dubreka,21
Cumulative (confirmed + probable + suspects),2014-10-01,Dubreka,21
Total suspected non-class cases,2014-10-01,Dubreka,20
New deaths registered,2014-10-01,Dubreka,
Total deaths of suspects,2014-10-01,Dubreka,0
Total deaths of probables,2014-10-01,Dubreka,0
Total deaths of confirmed,2014-10-01,Dubreka,7
Total deaths (confirmed + probables + suspects),2014-10-01,Dubreka,7
Fatality rate for confirmed and probables,2014-10-01,Dubreka,33%
New cases of confirmed among health workers,2014-10-01,Dubreka,
Total case of confirmed among health workers,2014-10-01,Dubreka,3
New deaths registered among health workers,2014-10-01,Dubreka,0
Total deaths registered among health workers,2014-10-01,Dubreka,1
New admits to CTE so far,2014-10-01,Dubreka,
Total number of hospitalized cases in CTE,2014-10-01,Dubreka,0
Total number of exits from CTE,2014-10-01,Dubreka,0
Total number of admissions to CTE,2014-10-01,Dubreka,0
New contacts registered so far,2014-10-01,Dubreka,
Total contacts registered from start date,2014-10-01,Dubreka,341
Number of contacts to follow today,2014-10-01,Dubreka,49
Number of contacts followed today,2014-10-01,Dubreka,49
Number of contacts out of the track 21 days,2014-10-01,Dubreka,292
Number of contacts lost to follow up,2014-10-01,Dubreka,0
Number of samples collected today,2014-10-01,Dubreka,
Number of samples under test,2014-10-01,Dubreka,
Total samples tested,2014-10-01,Dubreka,
New cases of suspects,2014-10-01,Forecariah,
New cases of probables,2014-10-01,Forecariah,
New cases of confirmed,2014-10-01,Forecariah,
Total new cases registered so far,2014-10-01,Forecariah,0
Total cases of suspects,2014-10-01,Forecariah,3
Total cases of probables,2014-10-01,Forecariah,2
Total cases of confirmed,2014-10-01,Forecariah,11
Cumulative (confirmed + probable + suspects),2014-10-01,Forecariah,16
Total suspected non-class cases,2014-10-01,Forecariah,13
New deaths registered,2014-10-01,Forecariah,
Total deaths of suspects,2014-10-01,Forecariah,0
Total deaths of probables,2014-10-01,Forecariah,2
Total deaths of confirmed,2014-10-01,Forecariah,7
Total deaths (confirmed + probables + suspects),2014-10-01,Forecariah,9
Fatality rate for confirmed and probables,2014-10-01,Forecariah,56%
New cases of confirmed among health workers,2014-10-01,Forecariah,
Total case of confirmed among health workers,2014-10-01,Forecariah,0
New deaths registered among health workers,2014-10-01,Forecariah,0
Total deaths registered among health workers,2014-10-01,Forecariah,0
New admits to CTE so far,2014-10-01,Forecariah,
Total number of hospitalized cases in CTE,2014-10-01,Forecariah,0
Total number of exits from CTE,2014-10-01,Forecariah,0
Total number of admissions to CTE,2014-10-01,Forecariah,0
New contacts registered so far,2014-10-01,Forecariah,
Total contacts registered from start date,2014-10-01,Forecariah,212
Number of contacts to follow today,2014-10-01,Forecariah,151
Number of contacts followed today,2014-10-01,Forecariah,146
Number of contacts out of the track 21 days,2014-10-01,Forecariah,61
Number of contacts lost to follow up,2014-10-01,Forecariah,0
Number of samples collected today,2014-10-01,Forecariah,
Number of samples under test,2014-10-01,Forecariah,
Total samples tested,2014-10-01,Forecariah,
New cases of suspects,2014-10-01,Gueckedou,
New cases of probables,2014-10-01,Gueckedou,
New cases of confirmed,2014-10-01,Gueckedou,1
Total new cases registered so far,2014-10-01,Gueckedou,1
Total cases of suspects,2014-10-01,Gueckedou,2
Total cases of probables,2014-10-01,Gueckedou,112
Total cases of confirmed,2014-10-01,Gueckedou,248
Cumulative (confirmed + probable + suspects),2014-10-01,Gueckedou,362
Total suspected non-class cases,2014-10-01,Gueckedou,268
New deaths registered,2014-10-01,Gueckedou,
Total deaths of suspects,2014-10-01,Gueckedou,0
Total deaths of probables,2014-10-01,Gueckedou,112
Total deaths of confirmed,2014-10-01,Gueckedou,189
Total deaths (confirmed + probables + suspects),2014-10-01,Gueckedou,301
Fatality rate for confirmed and probables,2014-10-01,Gueckedou,83%
New cases of confirmed among health workers,2014-10-01,Gueckedou,
Total case of confirmed among health workers,2014-10-01,Gueckedou,9
New deaths registered among health workers,2014-10-01,Gueckedou,0
Total deaths registered among health workers,2014-10-01,Gueckedou,6
New admits to CTE so far,2014-10-01,Gueckedou,10
Total number of hospitalized cases in CTE,2014-10-01,Gueckedou,54
Total number of exits from CTE,2014-10-01,Gueckedou,5
Total number of admissions to CTE,2014-10-01,Gueckedou,924
New contacts registered so far,2014-10-01,Gueckedou,
Total contacts registered from start date,2014-10-01,Gueckedou,3816
Number of contacts to follow today,2014-10-01,Gueckedou,117
Number of contacts followed today,2014-10-01,Gueckedou,117
Number of contacts out of the track 21 days,2014-10-01,Gueckedou,3699
Number of contacts lost to follow up,2014-10-01,Gueckedou,0
Number of samples collected today,2014-10-01,Gueckedou,9
Number of samples under test,2014-10-01,Gueckedou,0
Total samples tested,2014-10-01,Gueckedou,1661
New cases of suspects,2014-10-01,Kerouane,
New cases of probables,2014-10-01,Kerouane,
New cases of confirmed,2014-10-01,Kerouane,1
Total new cases registered so far,2014-10-01,Kerouane,1
Total cases of suspects,2014-10-01,Kerouane,0
Total cases of probables,2014-10-01,Kerouane,0
Total cases of confirmed,2014-10-01,Kerouane,24
Cumulative (confirmed + probable + suspects),2014-10-01,Kerouane,24
Total suspected non-class cases,2014-10-01,Kerouane,9
New deaths registered,2014-10-01,Kerouane,
Total deaths of suspects,2014-10-01,Kerouane,0
Total deaths of probables,2014-10-01,Kerouane,0
Total deaths of confirmed,2014-10-01,Kerouane,5
Total deaths (confirmed + probables + suspects),2014-10-01,Kerouane,5
Fatality rate for confirmed and probables,2014-10-01,Kerouane,21%
New cases of confirmed among health workers,2014-10-01,Kerouane,
Total case of confirmed among health workers,2014-10-01,Kerouane,0
New deaths registered among health workers,2014-10-01,Kerouane,0
Total deaths registered among health workers,2014-10-01,Kerouane,0
New admits to CTE so far,2014-10-01,Kerouane,
Total number of hospitalized cases in CTE,2014-10-01,Kerouane,0
Total number of exits from CTE,2014-10-01,Kerouane,0
Total number of admissions to CTE,2014-10-01,Kerouane,0
New contacts registered so far,2014-10-01,Kerouane,
Total contacts registered from start date,2014-10-01,Kerouane,674
Number of contacts to follow today,2014-10-01,Kerouane,194
Number of contacts followed today,2014-10-01,Kerouane,194
Number of contacts out of the track 21 days,2014-10-01,Kerouane,480
Number of contacts lost to follow up,2014-10-01,Kerouane,0
Number of samples collected today,2014-10-01,Kerouane,
Number of samples under test,2014-10-01,Kerouane,
Total samples tested,2014-10-01,Kerouane,
New cases of suspects,2014-10-01,Kindia,
New cases of probables,2014-10-01,Kindia,
New cases of confirmed,2014-10-01,Kindia,
Total new cases registered so far,2014-10-01,Kindia,0
Total cases of suspects,2014-10-01,Kindia,0
Total cases of probables,2014-10-01,Kindia,0
Total cases of confirmed,2014-10-01,Kindia,1
Cumulative (confirmed + probable + suspects),2014-10-01,Kindia,1
Total suspected non-class cases,2014-10-01,Kindia,4
New deaths registered,2014-10-01,Kindia,
Total deaths of suspects,2014-10-01,Kindia,0
Total deaths of probables,2014-10-01,Kindia,0
Total deaths of confirmed,2014-10-01,Kindia,0
Total deaths (confirmed + probables + suspects),2014-10-01,Kindia,0
Fatality rate for confirmed and probables,2014-10-01,Kindia,0%
New cases of confirmed among health workers,2014-10-01,Kindia,
Total case of confirmed among health workers,2014-10-01,Kindia,0
New deaths registered among health workers,2014-10-01,Kindia,0
Total deaths registered among health workers,2014-10-01,Kindia,0
New admits to CTE so far,2014-10-01,Kindia,
Total number of hospitalized cases in CTE,2014-10-01,Kindia,0
Total number of exits from CTE,2014-10-01,Kindia,0
Total number of admissions to CTE,2014-10-01,Kindia,0
New contacts registered so far,2014-10-01,Kindia,
Total contacts registered from start date,2014-10-01,Kindia,0
Number of contacts to follow today,2014-10-01,Kindia,0
Number of contacts followed today,2014-10-01,Kindia,0
Number of contacts out of the track 21 days,2014-10-01,Kindia,0
Number of contacts lost to follow up,2014-10-01,Kindia,0
Number of samples collected today,2014-10-01,Kindia,
Number of samples under test,2014-10-01,Kindia,
Total samples tested,2014-10-01,Kindia,
New cases of suspects,2014-10-01,Kissidougou,
New cases of probables,2014-10-01,Kissidougou,
New cases of confirmed,2014-10-01,Kissidougou,
Total new cases registered so far,2014-10-01,Kissidougou,0
Total cases of suspects,2014-10-01,Kissidougou,0
Total cases of probables,2014-10-01,Kissidougou,5
Total cases of confirmed,2014-10-01,Kissidougou,3
Cumulative (confirmed + probable + suspects),2014-10-01,Kissidougou,8
Total suspected non-class cases,2014-10-01,Kissidougou,7
New deaths registered,2014-10-01,Kissidougou,
Total deaths of suspects,2014-10-01,Kissidougou,0
Total deaths of probables,2014-10-01,Kissidougou,5
Total deaths of confirmed,2014-10-01,Kissidougou,2
Total deaths (confirmed + probables + suspects),2014-10-01,Kissidougou,7
Fatality rate for confirmed and probables,2014-10-01,Kissidougou,88%
New cases of confirmed among health workers,2014-10-01,Kissidougou,
Total case of confirmed among health workers,2014-10-01,Kissidougou,0
New deaths registered among health workers,2014-10-01,Kissidougou,0
Total deaths registered among health workers,2014-10-01,Kissidougou,0
New admits to CTE so far,2014-10-01,Kissidougou,
Total number of hospitalized cases in CTE,2014-10-01,Kissidougou,0
Total number of exits from CTE,2014-10-01,Kissidougou,0
Total number of admissions to CTE,2014-10-01,Kissidougou,0
New contacts registered so far,2014-10-01,Kissidougou,
Total contacts registered from start date,2014-10-01,Kissidougou,159
Number of contacts to follow today,2014-10-01,Kissidougou,0
Number of contacts followed today,2014-10-01,Kissidougou,0
Number of contacts out of the track 21 days,2014-10-01,Kissidougou,159
Number of contacts lost to follow up,2014-10-01,Kissidougou,0
Number of samples collected today,2014-10-01,Kissidougou,
Number of samples under test,2014-10-01,Kissidougou,
Total samples tested,2014-10-01,Kissidougou,
New cases of suspects,2014-10-01,Kouroussa,
New cases of probables,2014-10-01,Kouroussa,
New cases of confirmed,2014-10-01,Kouroussa,
Total new cases registered so far,2014-10-01,Kouroussa,0
Total cases of suspects,2014-10-01,Kouroussa,0
Total cases of probables,2014-10-01,Kouroussa,2
Total cases of confirmed,2014-10-01,Kouroussa,2
Cumulative (confirmed + probable + suspects),2014-10-01,Kouroussa,4
Total suspected non-class cases,2014-10-01,Kouroussa,2
New deaths registered,2014-10-01,Kouroussa,
Total deaths of suspects,2014-10-01,Kouroussa,0
Total deaths of probables,2014-10-01,Kouroussa,2
Total deaths of confirmed,2014-10-01,Kouroussa,2
Total deaths (confirmed + probables + suspects),2014-10-01,Kouroussa,4
Fatality rate for confirmed and probables,2014-10-01,Kouroussa,100%
New cases of confirmed among health workers,2014-10-01,Kouroussa,
Total case of confirmed among health workers,2014-10-01,Kouroussa,0
New deaths registered among health workers,2014-10-01,Kouroussa,0
Total deaths registered among health workers,2014-10-01,Kouroussa,0
New admits to CTE so far,2014-10-01,Kouroussa,
Total number of hospitalized cases in CTE,2014-10-01,Kouroussa,0
Total number of exits from CTE,2014-10-01,Kouroussa,0
Total number of admissions to CTE,2014-10-01,Kouroussa,0
New contacts registered so far,2014-10-01,Kouroussa,
Total contacts registered from start date,2014-10-01,Kouroussa,94
Number of contacts to follow today,2014-10-01,Kouroussa,0
Number of contacts followed today,2014-10-01,Kouroussa,0
Number of contacts out of the track 21 days,2014-10-01,Kouroussa,94
Number of contacts lost to follow up,2014-10-01,Kouroussa,0
Number of samples collected today,2014-10-01,Kouroussa,
Number of samples under test,2014-10-01,Kouroussa,
Total samples tested,2014-10-01,Kouroussa,
New cases of suspects,2014-10-01,Lola,9
New cases of probables,2014-10-01,Lola,
New cases of confirmed,2014-10-01,Lola,
Total new cases registered so far,2014-10-01,Lola,9
Total cases of suspects,2014-10-01,Lola,9
Total cases of probables,2014-10-01,Lola,0
Total cases of confirmed,2014-10-01,Lola,2
Cumulative (confirmed + probable + suspects),2014-10-01,Lola,11
Total suspected non-class cases,2014-10-01,Lola,4
New deaths registered,2014-10-01,Lola,
Total deaths of suspects,2014-10-01,Lola,0
Total deaths of probables,2014-10-01,Lola,0
Total deaths of confirmed,2014-10-01,Lola,2
Total deaths (confirmed + probables + suspects),2014-10-01,Lola,0
Fatality rate for confirmed and probables,2014-10-01,Lola,100%
New cases of confirmed among health workers,2014-10-01,Lola,
Total case of confirmed among health workers,2014-10-01,Lola,0
New deaths registered among health workers,2014-10-01,Lola,0
Total deaths registered among health workers,2014-10-01,Lola,0
New admits to CTE so far,2014-10-01,Lola,
Total number of hospitalized cases in CTE,2014-10-01,Lola,
Total number of exits from CTE,2014-10-01,Lola,
Total number of admissions to CTE,2014-10-01,Lola,
New contacts registered so far,2014-10-01,Lola,
Total contacts registered from start date,2014-10-01,Lola,0
Number of contacts to follow today,2014-10-01,Lola,0
Number of contacts followed today,2014-10-01,Lola,0
Number of contacts out of the track 21 days,2014-10-01,Lola,0
Number of contacts lost to follow up,2014-10-01,Lola,0
Number of samples collected today,2014-10-01,Lola,
Number of samples under test,2014-10-01,Lola,
Total samples tested,2014-10-01,Lola,
New cases of suspects,2014-10-01,Macenta,3
New cases of probables,2014-10-01,Macenta,
New cases of confirmed,2014-10-01,Macenta,2
Total new cases registered so far,2014-10-01,Macenta,5
Total cases of suspects,2014-10-01,Macenta,9
Total cases of probables,2014-10-01,Macenta,16
Total cases of confirmed,2014-10-01,Macenta,378
Cumulative (confirmed + probable + suspects),2014-10-01,Macenta,403
Total suspected non-class cases,2014-10-01,Macenta,197
New deaths registered,2014-10-01,Macenta,15
Total deaths of suspects,2014-10-01,Macenta,0
Total deaths of probables,2014-10-01,Macenta,16
Total deaths of confirmed,2014-10-01,Macenta,230
Total deaths (confirmed + probables + suspects),2014-10-01,Macenta,246
Fatality rate for confirmed and probables,2014-10-01,Macenta,61%
New cases of confirmed among health workers,2014-10-01,Macenta,
Total case of confirmed among health workers,2014-10-01,Macenta,9
New deaths registered among health workers,2014-10-01,Macenta,0
Total deaths registered among health workers,2014-10-01,Macenta,7
