,Description,Date,Location,Value
400,Total case of confirmed among health workers,2014-10-01,Conakry,40
401,New deaths registered among health workers,2014-10-01,Conakry,0
402,Total deaths registered among health workers,2014-10-01,Conakry,18
403,New admits to CTE so far,2014-10-01,Conakry,15
404,Total number of hospitalized cases in CTE,2014-10-01,Conakry,48
405,Total number of exits from CTE,2014-10-01,Conakry,9
406,Total number of admissions to CTE,2014-10-01,Conakry,571
407,New contacts registered so far,2014-10-01,Conakry,
408,Total contacts registered from start date,2014-10-01,Conakry,3319
409,Number of contacts to follow today,2014-10-01,Conakry,825
410,Number of contacts followed today,2014-10-01,Conakry,778
411,Number of contacts out of the track 21 days,2014-10-01,Conakry,2494
412,Number of contacts lost to follow up,2014-10-01,Conakry,0
413,Number of samples collected today,2014-10-01,Conakry,16
414,Number of samples under test,2014-10-01,Conakry,0
415,Total samples tested,2014-10-01,Conakry,1171
576,New cases of suspects,2014-10-01,Coyah,
577,New cases of probables,2014-10-01,Coyah,
578,New cases of confirmed,2014-10-01,Coyah,
579,Total new cases registered so far,2014-10-01,Coyah,0
580,Total cases of suspects,2014-10-01,Coyah,0
581,Total cases of probables,2014-10-01,Coyah,0
582,Total cases of confirmed,2014-10-01,Coyah,12
583,Cumulative (confirmed + probable + suspects),2014-10-01,Coyah,12
584,Total suspected non-class cases,2014-10-01,Coyah,6
585,New deaths registered,2014-10-01,Coyah,
586,Total deaths of suspects,2014-10-01,Coyah,0
587,Total deaths of probables,2014-10-01,Coyah,0
588,Total deaths of confirmed,2014-10-01,Coyah,5
589,Total deaths (confirmed + probables + suspects),2014-10-01,Coyah,5
590,Fatality rate for confirmed and probables,2014-10-01,Coyah,42%
591,New cases of confirmed among health workers,2014-10-01,Coyah,
592,Total case of confirmed among health workers,2014-10-01,Coyah,1
593,New deaths registered among health workers,2014-10-01,Coyah,0
594,Total deaths registered among health workers,2014-10-01,Coyah,0
595,New admits to CTE so far,2014-10-01,Coyah,
596,Total number of hospitalized cases in CTE,2014-10-01,Coyah,0
597,Total number of exits from CTE,2014-10-01,Coyah,0
598,Total number of admissions to CTE,2014-10-01,Coyah,0
599,New contacts registered so far,2014-10-01,Coyah,
600,Total contacts registered from start date,2014-10-01,Coyah,116
601,Number of contacts to follow today,2014-10-01,Coyah,98
602,Number of contacts followed today,2014-10-01,Coyah,98
603,Number of contacts out of the track 21 days,2014-10-01,Coyah,17
604,Number of contacts lost to follow up,2014-10-01,Coyah,1
605,Number of samples collected today,2014-10-01,Coyah,
606,Number of samples under test,2014-10-01,Coyah,
607,Total samples tested,2014-10-01,Coyah,
768,New cases of suspects,2014-10-01,Dabola,
769,New cases of probables,2014-10-01,Dabola,
770,New cases of confirmed,2014-10-01,Dabola,
771,Total new cases registered so far,2014-10-01,Dabola,0
772,Total cases of suspects,2014-10-01,Dabola,0
773,Total cases of probables,2014-10-01,Dabola,3
774,Total cases of confirmed,2014-10-01,Dabola,1
775,Cumulative (confirmed + probable + suspects),2014-10-01,Dabola,4
776,Total suspected non-class cases,2014-10-01,Dabola,3
777,New deaths registered,2014-10-01,Dabola,
778,Total deaths of suspects,2014-10-01,Dabola,0
779,Total deaths of probables,2014-10-01,Dabola,3
780,Total deaths of confirmed,2014-10-01,Dabola,1
781,Total deaths (confirmed + probables + suspects),2014-10-01,Dabola,4
782,Fatality rate for confirmed and probables,2014-10-01,Dabola,100%
783,New cases of confirmed among health workers,2014-10-01,Dabola,
784,Total case of confirmed among health workers,2014-10-01,Dabola,0
785,New deaths registered among health workers,2014-10-01,Dabola,0
786,Total deaths registered among health workers,2014-10-01,Dabola,0
787,New admits to CTE so far,2014-10-01,Dabola,
788,Total number of hospitalized cases in CTE,2014-10-01,Dabola,0
789,Total number of exits from CTE,2014-10-01,Dabola,0
790,Total number of admissions to CTE,2014-10-01,Dabola,0
791,New contacts registered so far,2014-10-01,Dabola,
792,Total contacts registered from start date,2014-10-01,Dabola,69
793,Number of contacts to follow today,2014-10-01,Dabola,0
794,Number of contacts followed today,2014-10-01,Dabola,0
795,Number of contacts out of the track 21 days,2014-10-01,Dabola,69
796,Number of contacts lost to follow up,2014-10-01,Dabola,0
797,Number of samples collected today,2014-10-01,Dabola,
798,Number of samples under test,2014-10-01,Dabola,
799,Total samples tested,2014-10-01,Dabola,
960,New cases of suspects,2014-10-01,Dalaba,
961,New cases of probables,2014-10-01,Dalaba,
962,New cases of confirmed,2014-10-01,Dalaba,
963,Total new cases registered so far,2014-10-01,Dalaba,0
964,Total cases of suspects,2014-10-01,Dalaba,0
965,Total cases of probables,2014-10-01,Dalaba,0
966,Total cases of confirmed,2014-10-01,Dalaba,6
967,Cumulative (confirmed + probable + suspects),2014-10-01,Dalaba,6
968,Total suspected non-class cases,2014-10-01,Dalaba,1
969,New deaths registered,2014-10-01,Dalaba,
970,Total deaths of suspects,2014-10-01,Dalaba,0
971,Total deaths of probables,2014-10-01,Dalaba,0
972,Total deaths of confirmed,2014-10-01,Dalaba,0
973,Total deaths (confirmed + probables + suspects),2014-10-01,Dalaba,0
974,Fatality rate for confirmed and probables,2014-10-01,Dalaba,0%
975,New cases of confirmed among health workers,2014-10-01,Dalaba,
976,Total case of confirmed among health workers,2014-10-01,Dalaba,0
977,New deaths registered among health workers,2014-10-01,Dalaba,0
978,Total deaths registered among health workers,2014-10-01,Dalaba,0
979,New admits to CTE so far,2014-10-01,Dalaba,
980,Total number of hospitalized cases in CTE,2014-10-01,Dalaba,0
981,Total number of exits from CTE,2014-10-01,Dalaba,0
982,Total number of admissions to CTE,2014-10-01,Dalaba,0
983,New contacts registered so far,2014-10-01,Dalaba,
984,Total contacts registered from start date,2014-10-01,Dalaba,34
985,Number of contacts to follow today,2014-10-01,Dalaba,34
986,Number of contacts followed today,2014-10-01,Dalaba,20
987,Number of contacts out of the track 21 days,2014-10-01,Dalaba,0
988,Number of contacts lost to follow up,2014-10-01,Dalaba,0
989,Number of samples collected today,2014-10-01,Dalaba,
990,Number of samples under test,2014-10-01,Dalaba,
991,Total samples tested,2014-10-01,Dalaba,
1152,New cases of suspects,2014-10-01,Dinguiraye,
1153,New cases of probables,2014-10-01,Dinguiraye,
1154,New cases of confirmed,2014-10-01,Dinguiraye,
1155,Total new cases registered so far,2014-10-01,Dinguiraye,0
1156,Total cases of suspects,2014-10-01,Dinguiraye,0
1157,Total cases of probables,2014-10-01,Dinguiraye,1
1158,Total cases of confirmed,2014-10-01,Dinguiraye,0
1159,Cumulative (confirmed + probable + suspects),2014-10-01,Dinguiraye,1
1160,Total suspected non-class cases,2014-10-01,Dinguiraye,0
1161,New deaths registered,2014-10-01,Dinguiraye,
1162,Total deaths of suspects,2014-10-01,Dinguiraye,0
1163,Total deaths of probables,2014-10-01,Dinguiraye,1
1164,Total deaths of confirmed,2014-10-01,Dinguiraye,0
1165,Total deaths (confirmed + probables + suspects),2014-10-01,Dinguiraye,1
1166,Fatality rate for confirmed and probables,2014-10-01,Dinguiraye,100%
1167,New cases of confirmed among health workers,2014-10-01,Dinguiraye,
1168,Total case of confirmed among health workers,2014-10-01,Dinguiraye,0
1169,New deaths registered among health workers,2014-10-01,Dinguiraye,0
1170,Total deaths registered among health workers,2014-10-01,Dinguiraye,0
1171,New admits to CTE so far,2014-10-01,Dinguiraye,
1172,Total number of hospitalized cases in CTE,2014-10-01,Dinguiraye,0
1173,Total number of exits from CTE,2014-10-01,Dinguiraye,0
1174,Total number of admissions to CTE,2014-10-01,Dinguiraye,0
1175,New contacts registered so far,2014-10-01,Dinguiraye,
1176,Total contacts registered from start date,2014-10-01,Dinguiraye,0
1177,Number of contacts to follow today,2014-10-01,Dinguiraye,0
1178,Number of contacts followed today,2014-10-01,Dinguiraye,0
1179,Number of contacts out of the track 21 days,2014-10-01,Dinguiraye,0
1180,Number of contacts lost to follow up,2014-10-01,Dinguiraye,0
1181,Number of samples collected today,2014-10-01,Dinguiraye,
1182,Number of samples under test,2014-10-01,Dinguiraye,
1183,Total samples tested,2014-10-01,Dinguiraye,
1344,New cases of suspects,2014-10-01,Dubreka,
1345,New cases of probables,2014-10-01,Dubreka,
1346,New cases of confirmed,2014-10-01,Dubreka,
1347,Total new cases registered so far,2014-10-01,Dubreka,0
1348,Total cases of suspects,2014-10-01,Dubreka,0
1349,Total cases of probables,2014-10-01,Dubreka,0
1350,Total cases of confirmed,2014-10-01,Dubreka,21
1351,Cumulative (confirmed + probable + suspects),2014-10-01,Dubreka,21
1352,Total suspected non-class cases,2014-10-01,Dubreka,20
1353,New deaths registered,2014-10-01,Dubreka,
1354,Total deaths of suspects,2014-10-01,Dubreka,0
1355,Total deaths of probables,2014-10-01,Dubreka,0
1356,Total deaths of confirmed,2014-10-01,Dubreka,7
1357,Total deaths (confirmed + probables + suspects),2014-10-01,Dubreka,7
1358,Fatality rate for confirmed and probables,2014-10-01,Dubreka,33%
1359,New cases of confirmed among health workers,2014-10-01,Dubreka,
1360,Total case of confirmed among health workers,2014-10-01,Dubreka,3
1361,New deaths registered among health workers,2014-10-01,Dubreka,0
1362,Total deaths registered among health workers,2014-10-01,Dubreka,1
1363,New admits to CTE so far,2014-10-01,Dubreka,
1364,Total number of hospitalized cases in CTE,2014-10-01,Dubreka,0
1365,Total number of exits from CTE,2014-10-01,Dubreka,0
1366,Total number of admissions to CTE,2014-10-01,Dubreka,0
1367,New contacts registered so far,2014-10-01,Dubreka,
1368,Total contacts registered from start date,2014-10-01,Dubreka,341
1369,Number of contacts to follow today,2014-10-01,Dubreka,49
1370,Number of contacts followed today,2014-10-01,Dubreka,49
1371,Number of contacts out of the track 21 days,2014-10-01,Dubreka,292
1372,Number of contacts lost to follow up,2014-10-01,Dubreka,0
1373,Number of samples collected today,2014-10-01,Dubreka,
1374,Number of samples under test,2014-10-01,Dubreka,
1375,Total samples tested,2014-10-01,Dubreka,
1536,New cases of suspects,2014-10-01,Forecariah,
1537,New cases of probables,2014-10-01,Forecariah,
1538,New cases of confirmed,2014-10-01,Forecariah,
1539,Total new cases registered so far,2014-10-01,Forecariah,0
1540,Total cases of suspects,2014-10-01,Forecariah,3
1541,Total cases of probables,2014-10-01,Forecariah,2
1542,Total cases of confirmed,2014-10-01,Forecariah,11
1543,Cumulative (confirmed + probable + suspects),2014-10-01,Forecariah,16
1544,Total suspected non-class cases,2014-10-01,Forecariah,13
1545,New deaths registered,2014-10-01,Forecariah,
1546,Total deaths of suspects,2014-10-01,Forecariah,0
1547,Total deaths of probables,2014-10-01,Forecariah,2
1548,Total deaths of confirmed,2014-10-01,Forecariah,7
1549,Total deaths (confirmed + probables + suspects),2014-10-01,Forecariah,9
1550,Fatality rate for confirmed and probables,2014-10-01,Forecariah,56%
1551,New cases of confirmed among health workers,2014-10-01,Forecariah,
1552,Total case of confirmed among health workers,2014-10-01,Forecariah,0
1553,New deaths registered among health workers,2014-10-01,Forecariah,0
1554,Total deaths registered among health workers,2014-10-01,Forecariah,0
1555,New admits to CTE so far,2014-10-01,Forecariah,
1556,Total number of hospitalized cases in CTE,2014-10-01,Forecariah,0
1557,Total number of exits from CTE,2014-10-01,Forecariah,0
1558,Total number of admissions to CTE,2014-10-01,Forecariah,0
1559,New contacts registered so far,2014-10-01,Forecariah,
1560,Total contacts registered from start date,2014-10-01,Forecariah,212
1561,Number of contacts to follow today,2014-10-01,Forecariah,151
1562,Number of contacts followed today,2014-10-01,Forecariah,146
1563,Number of contacts out of the track 21 days,2014-10-01,Forecariah,61
1564,Number of contacts lost to follow up,2014-10-01,Forecariah,0
1565,Number of samples collected today,2014-10-01,Forecariah,
1566,Number of samples under test,2014-10-01,Forecariah,
1567,Total samples tested,2014-10-01,Forecariah,
1728,New cases of suspects,2014-10-01,Gueckedou,
1729,New cases of probables,2014-10-01,Gueckedou,
1730,New cases of confirmed,2014-10-01,Gueckedou,1
1731,Total new cases registered so far,2014-10-01,Gueckedou,1
1732,Total cases of suspects,2014-10-01,Gueckedou,2
1733,Total cases of probables,2014-10-01,Gueckedou,112
1734,Total cases of confirmed,2014-10-01,Gueckedou,248
1735,Cumulative (confirmed + probable + suspects),2014-10-01,Gueckedou,362
1736,Total suspected non-class cases,2014-10-01,Gueckedou,268
1737,New deaths registered,2014-10-01,Gueckedou,
1738,Total deaths of suspects,2014-10-01,Gueckedou,0
1739,Total deaths of probables,2014-10-01,Gueckedou,112
1740,Total deaths of confirmed,2014-10-01,Gueckedou,189
1741,Total deaths (confirmed + probables + suspects),2014-10-01,Gueckedou,301
1742,Fatality rate for confirmed and probables,2014-10-01,Gueckedou,83%
1743,New cases of confirmed among health workers,2014-10-01,Gueckedou,
1744,Total case of confirmed among health workers,2014-10-01,Gueckedou,9
1745,New deaths registered among health workers,2014-10-01,Gueckedou,0
1746,Total deaths registered among health workers,2014-10-01,Gueckedou,6
1747,New admits to CTE so far,2014-10-01,Gueckedou,10
1748,Total number of hospitalized cases in CTE,2014-10-01,Gueckedou,54
1749,Total number of exits from CTE,2014-10-01,Gueckedou,5
1750,Total number of admissions to CTE,2014-10-01,Gueckedou,924
1751,New contacts registered so far,2014-10-01,Gueckedou,
1752,Total contacts registered from start date,2014-10-01,Gueckedou,3816
1753,Number of contacts to follow today,2014-10-01,Gueckedou,117
1754,Number of contacts followed today,2014-10-01,Gueckedou,117
1755,Number of contacts out of the track 21 days,2014-10-01,Gueckedou,3699
1756,Number of contacts lost to follow up,2014-10-01,Gueckedou,0
1757,Number of samples collected today,2014-10-01,Gueckedou,9
1758,Number of samples under test,2014-10-01,Gueckedou,0
1759,Total samples tested,2014-10-01,Gueckedou,1661
1920,New cases of suspects,2014-10-01,Kerouane,
1921,New cases of probables,2014-10-01,Kerouane,
1922,New cases of confirmed,2014-10-01,Kerouane,1
1923,Total new cases registered so far,2014-10-01,Kerouane,1
1924,Total cases of suspects,2014-10-01,Kerouane,0
1925,Total cases of probables,2014-10-01,Kerouane,0
1926,Total cases of confirmed,2014-10-01,Kerouane,24
1927,Cumulative (confirmed + probable + suspects),2014-10-01,Kerouane,24
1928,Total suspected non-class cases,2014-10-01,Kerouane,9
1929,New deaths registered,2014-10-01,Kerouane,
1930,Total deaths of suspects,2014-10-01,Kerouane,0
1931,Total deaths of probables,2014-10-01,Kerouane,0
1932,Total deaths of confirmed,2014-10-01,Kerouane,5
1933,Total deaths (confirmed + probables + suspects),2014-10-01,Kerouane,5
1934,Fatality rate for confirmed and probables,2014-10-01,Kerouane,21%
1935,New cases of confirmed among health workers,2014-10-01,Kerouane,
1936,Total case of confirmed among health workers,2014-10-01,Kerouane,0
1937,New deaths registered among health workers,2014-10-01,Kerouane,0
1938,Total deaths registered among health workers,2014-10-01,Kerouane,0
1939,New admits to CTE so far,2014-10-01,Kerouane,
1940,Total number of hospitalized cases in CTE,2014-10-01,Kerouane,0
1941,Total number of exits from CTE,2014-10-01,Kerouane,0
1942,Total number of admissions to CTE,2014-10-01,Kerouane,0
1943,New contacts registered so far,2014-10-01,Kerouane,
